ID,InChIKey,Solubility,SD,Ocurrences,Group,rdkit_molwt,rdkit_mollogp,PredictedSolubility,Residual,AbsoluteResidual,MolWt,MolLogP,TPSA,NumHAcceptors,NumHDonors,NumRotatableBonds,rdkit_tpsa,rdkit_hba,rdkit_hbd,rdkit_rotatable_bonds,abs_residual,MolWt_diff,MolLogP_diff,TPSA_diff,HBA_diff,HBD_diff,Rotatable_diff,flag_single_occurrence,flag_high_sd,flag_high_logp_discrepancy,flag_high_tpsa_discrepancy,low_reliability,extreme_residual,bucket
A-6060,JSBMGPVJAADXIZ-UHFFFAOYSA-N,-7.5649937324,0.6371146617127232,3,G4,367.2770000000001,-2.7986999999999984,-0.0796086275789917,-7.485385104821008,7.485385104821008,367.2770000000001,-2.7986999999999984,166.32999999999998,6.0,5.0,0.0,166.32999999999998,6,5,0,7.485385104821008,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,True,True,1_low_reliability
A-5980,JEPVJCOLPSALKN-UHFFFAOYSA-N,-9.0249738719,0.0,1,G1,423.6760000000001,-0.917,-1.681250204822815,-7.343723667077185,7.343723667077185,423.6760000000001,-0.917,55.38000000000001,6.0,0.0,0.0,55.38000000000001,6,0,0,7.343723667077185,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,True,1_low_reliability
B-1492,DAJYZXUXDOSMCG-UHFFFAOYSA-N,0.2956,0.0,1,G1,506.2550000000003,5.687600000000006,-6.691576748546742,6.987176748546743,6.987176748546743,506.2550000000003,5.687600000000006,151.35,13.0,0.0,18.0,151.35,13,0,18,6.987176748546743,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,True,1_low_reliability
A-6058,ACUPDOXCXXCPIX-LUAWRHEFSA-N,-7.5280099033,0.0,1,G1,337.2950000000001,-1.8951199999999984,-0.5463648985618164,-6.981645004738184,6.981645004738184,337.2950000000001,-1.8951199999999984,143.95,5.0,4.0,1.0,143.95,5,4,1,6.981645004738184,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,True,1_low_reliability
A-4449,BCYNJKQQXIODNZ-UHFFFAOYSA-N,-0.6984761494,0.0,1,G1,596.7710000000004,6.205800000000007,-7.529937199205409,6.831461049805409,6.831461049805409,596.7710000000004,6.205800000000007,115.22,6.0,2.0,11.0,115.22,6,2,11,6.831461049805409,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,True,1_low_reliability
A-2607,HQVNEWCFYHHQES-UHFFFAOYSA-N,-5.6698930776,0.0,1,G1,140.286,-2.4172,0.8589082747969766,-6.528801352396977,6.528801352396977,140.286,-2.4172,12.96,4.0,0.0,0.0,12.96,4,0,0,6.528801352396977,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,True,1_low_reliability
A-2783,PZNSFCLAULLKQX-UHFFFAOYSA-N,-6.394784279,0.0,1,G1,24.819,-0.36572,0.0503054644844926,-6.445089743484492,6.445089743484492,24.819,-0.36572,23.79,1.0,0.0,0.0,23.79,1,0,0,6.445089743484492,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,True,1_low_reliability
A-5820,BUGBHKTXTAQXES-UHFFFAOYSA-N,-6.5751878449,0.0,1,G1,78.96,-0.3808,-0.2261061053067853,-6.349081739593215,6.349081739593215,78.96,-0.3808,0.0,0.0,0.0,0.0,0.0,0,0,0,6.349081739593215,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,True,1_low_reliability
A-5996,LEKRPRXZDBMCCI-UHFFFAOYSA-N,-6.4891402338,0.0,1,G1,302.2500000000001,-1.9810799999999995,-0.3011719840340696,-6.18796824976593,6.18796824976593,302.2500000000001,-1.9810799999999995,141.11999999999998,6.0,4.0,3.0,141.11999999999998,6,4,3,6.18796824976593,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,True,1_low_reliability
A-3179,CNGYZEMWVAWWOB-VAWYXSNFSA-N,-1.0592793487,0.0,1,G1,917.0,3.2768,-7.19864899747512,6.139369648775119,6.139369648775119,917.0,3.2768,321.5999999999999,20.0,10.0,22.0,321.5999999999999,20,10,22,6.139369648775119,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,True,1_low_reliability
