outlier_id,outlier_name,outlier_solubility,outlier_residual,neighbor_rank,neighbor_id,neighbor_name,neighbor_solubility,tanimoto_similarity,solubility_gap
A-5013,1-[({[(tetradecyloxy)carbonyl]peroxy}carbonyl)oxy]tetradecane,-4.3499005787,5.79499002920044,1,A-5526,hexadecyl acetate,-7.397152994400001,0.64,3.047252415700001
A-5013,1-[({[(tetradecyloxy)carbonyl]peroxy}carbonyl)oxy]tetradecane,-4.3499005787,5.79499002920044,2,A-1462,decyl acetate,-4.9857583021,0.64,0.6358577234
A-5013,1-[({[(tetradecyloxy)carbonyl]peroxy}carbonyl)oxy]tetradecane,-4.3499005787,5.79499002920044,3,A-545,nonyl acetate,-4.4708606495,0.64,0.12096007079999982
A-3068,"2,6,10,15,19,23-hexamethyltetracosane",-5.1490404299,4.837071256469423,1,A-5660,"2,6,10-trimethyldodecane",-6.61539022,0.7222222222222222,1.4663497900999998
A-3068,"2,6,10,15,19,23-hexamethyltetracosane",-5.1490404299,4.837071256469423,2,A-482,"3,7-dimethyloctan-1-ol",-3.3932597866000003,0.6842105263157895,1.7557806433
A-3068,"2,6,10,15,19,23-hexamethyltetracosane",-5.1490404299,4.837071256469423,3,A-5082,"6,10,14-trimethylpentadecan-2-one",-5.4746775177,0.5652173913043478,0.32563708779999967
A-2335,"1,3,5,7-tetranitro-1,3,5,7-tetrazocane",-4.8251168095,-4.704481823337565,1,B-714,"1,3,5,-trinitrohexahydro-1,3,5-triazine",-3.5706,1.0,1.2545168094999997
A-2335,"1,3,5,7-tetranitro-1,3,5,7-tetrazocane",-4.8251168095,-4.704481823337565,2,A-4489,nitromethane,0.2335017655,0.3125,5.058618575
A-2335,"1,3,5,7-tetranitro-1,3,5,7-tetrazocane",-4.8251168095,-4.704481823337565,3,B-1041,tetranitromethane,-2.3381,0.2777777777777778,2.4870168095
A-3374,"1,4-bis({3-[2-(2-hydroxyethoxy)ethoxy]propyl}amino)-9,10-dihydroanthracene-9,10-dione",0.0571886956,4.405683529616837,1,A-5699,"1,4-bis(butylamino)-9,10-dihydroanthracene-9,10-dione",-7.9318570783,0.5853658536585366,7.9890457739
A-3374,"1,4-bis({3-[2-(2-hydroxyethoxy)ethoxy]propyl}amino)-9,10-dihydroanthracene-9,10-dione",0.0571886956,4.405683529616837,2,A-3805,2-(2-phenoxyethoxy)ethan-1-ol,-0.7165256146,0.37209302325581395,0.7737143101999999
A-3374,"1,4-bis({3-[2-(2-hydroxyethoxy)ethoxy]propyl}amino)-9,10-dihydroanthracene-9,10-dione",0.0571886956,4.405683529616837,3,A-5520,"1,4-bis[(2,6-diethyl-4-methylphenyl)amino]-9,10-dihydroanthracene-9,10-dione",-7.423828912,0.35294117647058826,7.4810176076
A-1712,"N~2~-(4,6-diamino-1,3,5-triazin-2-yl)-1,3,5-triazine-2,4,6-triamine",-4.2253369782,-4.203117376617089,1,A-3905,"1,3,5-triazine-2,4,6-triamine",-1.5592150485,0.5714285714285714,2.6661219296999996
A-1712,"N~2~-(4,6-diamino-1,3,5-triazin-2-yl)-1,3,5-triazine-2,4,6-triamine",-4.2253369782,-4.203117376617089,2,D-2097,cyromazine,-1.179,0.4782608695652174,3.0463369781999994
A-1712,"N~2~-(4,6-diamino-1,3,5-triazin-2-yl)-1,3,5-triazine-2,4,6-triamine",-4.2253369782,-4.203117376617089,3,B-1995,"2-chloro-4,6-diamino-s-triazine",-2.3849,0.42105263157894735,1.8404369781999996
