ID,InChIKey,Solubility,SD,Ocurrences,Group,rdkit_molwt,rdkit_mollogp,PredictedSolubility,Residual,AbsoluteResidual
A-6060,JSBMGPVJAADXIZ-UHFFFAOYSA-N,-7.5649937324,0.6371146617127232,3,G4,367.2770000000001,-2.7986999999999984,-0.07960862757899179,-7.485385104821008,7.485385104821008
A-5980,JEPVJCOLPSALKN-UHFFFAOYSA-N,-9.0249738719,0.0,1,G1,423.6760000000001,-0.917,-1.681250204822815,-7.343723667077185,7.343723667077185
B-1492,DAJYZXUXDOSMCG-UHFFFAOYSA-N,0.2956,0.0,1,G1,506.2550000000003,5.687600000000006,-6.691576748546742,6.987176748546743,6.987176748546743
A-6058,ACUPDOXCXXCPIX-LUAWRHEFSA-N,-7.5280099033,0.0,1,G1,337.2950000000001,-1.8951199999999984,-0.5463648985618164,-6.9816450047381835,6.9816450047381835
A-4449,BCYNJKQQXIODNZ-UHFFFAOYSA-N,-0.6984761494,0.0,1,G1,596.7710000000004,6.205800000000007,-7.529937199205409,6.831461049805409,6.831461049805409
A-2607,HQVNEWCFYHHQES-UHFFFAOYSA-N,-5.6698930776,0.0,1,G1,140.286,-2.4172,0.8589082747969766,-6.528801352396977,6.528801352396977
A-2783,PZNSFCLAULLKQX-UHFFFAOYSA-N,-6.394784279,0.0,1,G1,24.819,-0.36572,0.05030546448449269,-6.445089743484492,6.445089743484492
A-5820,BUGBHKTXTAQXES-UHFFFAOYSA-N,-6.5751878449,0.0,1,G1,78.96,-0.3808,-0.22610610530678538,-6.349081739593215,6.349081739593215
A-5996,LEKRPRXZDBMCCI-UHFFFAOYSA-N,-6.4891402338,0.0,1,G1,302.2500000000001,-1.9810799999999995,-0.30117198403406964,-6.18796824976593,6.18796824976593
A-3179,CNGYZEMWVAWWOB-VAWYXSNFSA-N,-1.0592793487,0.0,1,G1,917.0,3.2768,-7.19864899747512,6.139369648775119,6.139369648775119
B-2388,RTLULCVBFCRQKI-UHFFFAOYSA-N,0.1956,0.0,1,G1,637.4390000000003,3.5166000000000013,-5.883494883614435,6.0790948836144345,6.0790948836144345
A-2714,ITJIINAVMOBHSF-UHFFFAOYSA-N,-6.8304564999,0.0,1,G1,338.39700000000005,-1.3292999999999988,-0.9439582716572902,-5.8864982282427105,5.8864982282427105
A-5013,CSKKAINPUYTTRW-UHFFFAOYSA-N,-4.3499005787,0.0146036355499998,2,G3,514.7880000000006,10.609999999999992,-10.14489060790044,5.79499002920044,5.79499002920044
A-5604,FVZVCSNXTFCBQU-UHFFFAOYSA-N,-6.566718008,0.0,1,G1,30.974,0.8612,-0.831783321887801,-5.734934686112199,5.734934686112199
A-1799,AYYCRXDSCYPSRP-UHFFFAOYSA-N,-4.8187034651,0.0,1,G1,797.056,9.021720000000002,-10.54074496235847,5.722041497258471,5.722041497258471
A-5988,XMIJDTGORVPYLW-UHFFFAOYSA-N,-5.6631600565,1.473177123959093,4,G4,28.086,-0.3808,0.04343697164596044,-5.706597028145961,5.706597028145961
A-5817,SOYBSGQXDYYMDH-UHFFFAOYSA-N,-8.2650486602,0.0,1,G1,423.4250000000002,0.4816,-2.6482638609980684,-5.616784799201931,5.616784799201931
A-2119,JOWXNCPELQZFHF-UHFFFAOYSA-N,-6.2014353624,0.0,1,G1,795.07,10.877799999999992,-11.815309895934725,5.613874533534725,5.613874533534725
A-5961,GLVDLLVMSDGVDA-UHFFFAOYSA-N,-9.2195295624,0.0,1,G1,371.34500000000014,2.3017000000000003,-3.63250701147449,-5.58702255092551,5.58702255092551
A-5786,FGBJXOREULPLGL-UHFFFAOYSA-N,-6.717139790499999,0.0,1,G1,125.127,0.6292800000000001,-1.170055687173547,-5.547084103326452,5.547084103326452
B-1001,SFLOGVVDXPCWGR-UHFFFAOYSA-N,-5.1655,0.0,1,G1,195.138,-2.1181000000000005,0.3612020043436046,-5.526702004343605,5.526702004343605
A-6108,INZDTEICWPZYJM-UHFFFAOYSA-N,-10.098913562,0.0,1,G1,251.156,4.831200000000004,-4.747056435868833,-5.351857126131167,5.351857126131167
A-2543,INAHAJYZKVIDIZ-UHFFFAOYSA-N,-4.7424030214,0.5713337518000001,2,G2,55.259,-1.3084000000000002,0.5417066603990296,-5.28410968179903,5.28410968179903
A-5022,WUPCFMITFBVJMS-UHFFFAOYSA-N,-4.672731896,0.0,1,G1,847.2359999999995,7.777400000000011,-9.945085812411723,5.272353916411722,5.272353916411722
A-2317,BBBYRJLYBLPEBL-ZPHPHTNESA-N,-8.9260164319,0.0,1,G1,278.311,3.1073000000000013,-3.6973600886731317,-5.228656343226869,5.228656343226869
A-2482,RWSOTUBLDIXVET-UHFFFAOYSA-N,-5.5325378146,3.1687187902984104,5,G4,34.083,0.1128,-0.33008863153318757,-5.202449183066813,5.202449183066813
