ID,observed_solubility,mean_prediction,prediction_sd,prediction_range,n_predictions,residual,absolute_error,rdkit_molwt,rdkit_mollogp,rdkit_ring_count,rdkit_aromatic_rings,rdkit_rotatable_bonds,rdkit_fraction_csp3,observed_solubility_region
A-2761,-7.3271074817,-9.160455019488614,2.9560046776274733,5.840437403003151,3,1.8333475377886144,1.8333475377886144,424.7540000000004,9.931799999999996,0,0,25,0.9642857142857144,< -6
A-2551,-5.6135997753,-8.44375906900697,2.6608435964668025,5.317306588967596,3,2.830159293706971,2.830159293706971,410.7710000000004,9.997099999999996,0,0,25,1.0,-6 to < -4
A-2658,-6.6281415672,-8.053615474726216,1.9208431045736494,3.7669028150440766,3,1.4254739075262162,1.4254739075262162,424.7580000000002,7.876200000000009,0,0,24,0.9629629629629628,< -6
A-212,-7.2523945018000004,-7.653934999567085,1.621986096354568,3.1270184400331935,3,0.4015404977670842,0.4015404977670842,482.7900000000005,9.186800000000003,0,0,25,0.9333333333333332,< -6
A-5013,-4.3499005787,-7.619559646093283,1.5015062238649095,2.9271220056785623,3,3.269659067393283,3.269659067393283,514.7880000000006,10.609999999999992,0,0,26,0.9333333333333332,-6 to < -4
A-3068,-5.1490404299,-8.014511599463232,1.4233141528165822,2.778838661821231,3,2.8654711695632313,2.8654711695632313,422.8260000000003,11.08439999999999,0,0,21,1.0,-6 to < -4
B-2402,-13.1719,-8.789050311022926,1.4075187678818049,1.9905321308331168,2,-4.382849688977075,4.382849688977075,653.73,9.716199999999992,5,0,0,0.7777777777777778,< -6
A-1553,-4.3767049743,-6.399596247255857,1.2760086513930715,2.513968449125035,3,2.0228912729558575,2.0228912729558575,430.907,4.682900000000003,0,0,12,1.0,-6 to < -4
A-5803,-7.2887340171,-7.333500124534393,1.272702718602307,2.5416893957647355,3,0.04476610743439302,0.04476610743439302,414.108,5.354500000000002,0,0,5,1.0,< -6
A-2724,-6.9550061959,-7.409486302474082,1.264503234697194,2.465798941575291,3,0.45448010657408133,0.45448010657408133,450.7920000000004,10.487999999999992,0,0,26,0.9,< -6
A-6060,-7.5649937324000005,-4.2441886334396015,1.216103579681944,2.122666214063318,3,-3.320805098960399,3.320805098960399,367.2770000000001,-2.7986999999999984,4,2,0,0.0,< -6
B-2871,-3.6344,-7.038727941393238,1.1994949036958982,2.3868508441052416,3,3.404327941393238,3.404327941393238,430.907,5.725700000000003,0,0,12,1.0,-4 to < -2
A-2418,-7.801238331,-8.2886449251692,1.1702365303246027,1.654964372369487,2,0.4874065941691992,0.4874065941691992,632.7590000000001,10.485039999999993,4,2,4,0.6571428571428571,< -6
B-4424,-12.0605,-9.98878443404161,1.1644847819540602,2.487200867633936,4,-2.071715565958389,2.071715565958389,459.75400000000025,8.8118,3,2,0,0.0,< -6
B-2857,-11.5827,-9.863077540354276,1.1115117379369779,2.181106631747012,3,-1.7196224596457252,1.7196224596457252,443.7550000000001,8.813199999999998,3,3,0,0.0,< -6
A-2728,-6.855595468500002,-5.545217304711888,1.015406725041016,2.0266969867624134,3,-1.3103781637881138,1.3103781637881138,358.56300000000005,5.000200000000006,0,0,18,0.9523809523809524,< -6
A-6042,-7.214642713,-5.370398420772217,0.9992975948400006,1.4132202114695431,2,-1.844244292227783,1.844244292227783,306.5379999999999,6.823600000000007,1,1,16,0.85,< -6
B-2832,-11.4795,-9.38044863165818,0.984110333522699,2.1220486855347787,4,-2.0990513683418204,2.0990513683418204,425.3090000000002,8.1584,3,2,0,0.0,< -6
A-3146,0.7924026819,-1.1029749073483635,0.9445890389922288,1.8064877621861162,3,1.8953775892483633,1.8953775892483633,140.19,-1.0197999999999992,4,0,0,1.0,0 to < 2
C-2008,-4.06,-3.3184574124418145,0.9438632519677678,1.334824211958391,2,-0.7415425875581851,0.7415425875581851,196.122,-2.4070000000000005,2,2,0,0.0,-6 to < -4
F-762,-3.29,-3.342222280866942,0.9305515279231829,2.1905554115436825,4,0.05222228086694214,0.05222228086694214,270.3,-0.3692599999999992,2,1,2,0.0,-4 to < -2
A-2493,-6.9187336597,-6.353015440509606,0.9117996054281229,1.755980577584955,3,-0.5657182191903942,0.5657182191903942,414.67100000000016,6.704700000000009,0,0,23,0.96,< -6
A-1345,-3.8454729507,-2.062966870057309,0.8988703134208713,1.271194588054351,2,-1.782506080642691,1.782506080642691,154.13299999999998,-0.3789000000000002,1,1,1,0.0,-4 to < -2
A-4918,-3.3623020198,-4.959888353939465,0.8963003315743665,1.7481165224426203,3,1.5975863341394647,1.5975863341394647,322.4260000000001,5.552800000000006,0,0,14,1.0,-4 to < -2
C-1619,-6.150000000000001,-5.766266798251578,0.8844324712003577,1.648594515686617,3,-0.3837332017484236,0.3837332017484236,310.522,6.934600000000008,0,0,17,0.85,< -6
A-2455,-4.7267916006,-4.549407137090633,0.8755133698466784,1.6836961885150248,3,-0.17738446350936776,0.17738446350936776,330.509,4.364100000000005,0,0,17,0.9473684210526316,-6 to < -4
B-894,1.4942,-0.9194419486993612,0.854912439320183,1.6396612676832627,3,2.413641948699361,2.413641948699361,32.046,-1.1812,0,0,0,0.0,0 to < 2
B-1738,-1.5701,-1.4367183611041145,0.834050673127589,1.1795257736434455,2,-0.1333816388958855,0.1333816388958855,297.271,-2.8334999999999986,3,2,3,0.5454545454545454,-2 to < 0
B-31,0.0018,-1.0141122911557556,0.8333491430216395,1.1785336602531986,2,1.0159122911557557,1.0159122911557557,189.224,0.1577000000000001,3,0,3,1.0,0 to < 2
A-2046,-5.5152815814,-5.451821458152999,0.830766381230602,1.5291145962576973,3,-0.06346012324700112,0.06346012324700112,327.553,5.356400000000005,0,0,18,0.95,-6 to < -4
E-866,-0.17,-2.271496445387329,0.8012599483713563,1.133152685973138,2,2.1014964453873293,2.1014964453873293,254.246,-2.213099999999999,2,2,3,0.5,-2 to < 0
A-4771,-2.8821848863999997,-3.525026882216519,0.8012537154836464,1.402113960438474,3,0.6428419958165192,0.6428419958165192,434.57000000000033,3.299800000000002,0,0,23,0.9090909090909092,-4 to < -2
A-2106,-5.7752741917,-5.220974023606808,0.8008314860327407,1.581094354898811,3,-0.5543001680931923,0.5543001680931923,357.62300000000005,5.534500000000007,0,0,21,1.0,-6 to < -4
A-4305,-1.3016357757,-2.4927515133653175,0.7924729471563917,1.45771314624404,3,1.1911157376653174,1.1911157376653174,336.4690000000001,2.643700000000001,0,0,20,1.0,-2 to < 0
A-1114,-5.0206378696,-5.700149435793065,0.7893321050472053,1.5773389964843316,3,0.6795115661930655,0.6795115661930655,356.5470000000002,5.531800000000006,0,0,14,0.9047619047619048,-6 to < -4
A-2714,-6.8304564998999995,-1.3193583723309539,0.7867891291046472,1.5213712348512358,3,-5.511098127569046,5.511098127569046,338.39700000000005,-1.3292999999999988,0,0,14,0.9333333333333332,< -6
A-5530,-8.1906449159,-7.209390619340684,0.7779683922406592,1.5558327823028,3,-0.9812542965593165,0.9812542965593165,432.76200000000034,7.233200000000009,0,0,20,1.0,< -6
A-2626,-6.356030958999999,-5.66960151328811,0.7669389724564147,1.5088381975075524,3,-0.6864294457118891,0.6864294457118891,340.5040000000002,5.350000000000006,0,0,16,0.8,< -6
B-1424,-6.3476,-5.747068870686658,0.7636360299235818,1.4895214486132193,3,-0.6005311293133415,0.6005311293133415,228.41999999999996,5.069900000000006,0,0,13,1.0,< -6
B-4495,-2.3788,-2.2652114703545774,0.7604741703934259,1.8043615931523893,5,-0.11358852964542265,0.11358852964542265,136.11399999999998,-0.4022000000000001,2,0,0,0.0,-4 to < -2
A-4957,-3.6312456143999996,-5.372652360660601,0.7594530840570048,1.3769745492312344,3,1.7414067462606018,1.7414067462606018,269.5169999999999,6.206600000000005,0,0,16,1.0,-4 to < -2
A-2745,-6.9799366685,-5.639121805530375,0.7576248678938932,1.4568562319153644,3,-1.3408148629696246,1.3408148629696246,286.456,5.572400000000006,0,0,12,0.9411764705882352,< -6
A-2702,-6.8994921961,-6.733068698125128,0.7565731817361124,1.428782434761545,3,-0.166423497974872,0.166423497974872,396.7000000000003,9.151600000000002,0,0,23,0.9615384615384616,< -6
H-245,-10.66,-8.65934801706546,0.7534283243334035,1.499951762255873,3,-2.0006519829345404,2.0006519829345404,374.86500000000007,7.5064,3,3,0,0.0,< -6
