ID,InChIKey,Name,SMILES,Solubility,PredictedSolubility,Residual,abs_residual,Ocurrences,Group,SD,MolWt_diff,MolLogP_diff,TPSA_diff,HBA_diff,HBD_diff,Rotatable_diff
A-3,SZEMGTQCPRNXEG-UHFFFAOYSA-M,"N,N,N-trimethyloctadecan-1-aminium bromide",[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-3.6161271205,-3.972897565733631,0.3567704452336313,0.3567704452336313,1,G1,0.0,0.0,0.0,0.0,0,0,0
A-4,GPYLCFQEKPUWLD-UHFFFAOYSA-N,Benzo[cd]indol-2(1H)-one,O=C1Nc2cccc3cccc1c23,-3.2547670983,-2.775008666056022,-0.4797584322439778,0.4797584322439778,1,G1,0.0,0.0,0.0,0.0,0,0,0
A-5,AVPYQKSLYISFPO-UHFFFAOYSA-N,4-chlorobenzaldehyde,Clc1ccc(C=O)cc1,-2.1770779444,-2.6015467030557167,0.4244687586557165,0.4244687586557165,1,G1,0.0,0.0,0.0,0.0,0,0,0
A-8,XTUPUYCJWKHGSW-UHFFFAOYSA-L,"zinc bis[2-hydroxy-3,5-bis(1-phenylethyl)benzoate]",[Zn++].CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O.CC(c4ccccc4)c5cc(C(C)c6ccccc6)c(O)c(c5)C([O-])=O,-3.9244090954,-6.525925635344266,2.601516539944266,2.601516539944266,1,G1,0.0,0.0,0.0,0.0,0,0,0
A-9,FAUAZXVRLVIARB-UHFFFAOYSA-N,"4-({4-[bis(oxiran-2-ylmethyl)amino]phenyl}methyl)-N,N-bis(oxiran-2-ylmethyl)aniline",C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3,-4.6620645831,-3.512571736055363,-1.149492847044637,1.149492847044637,1,G1,0.0,0.0,0.0,0.0,0,0,0
A-10,JZHGRUMIRATHIU-UHFFFAOYSA-N,vinyltoluene,Cc1cccc(C=C)c1,-3.1231503041,-2.7183870993309625,-0.4047632047690377,0.4047632047690377,1,G1,0.0,1.4210854715202004e-14,0.0,0.0,0,0,0
A-11,WVRFSLWCFASCIS-UHFFFAOYSA-N,3-(3-ethylcyclopentyl)propanoic acid,CCC1CCC(CCC(O)=O)C1,-3.286116314,-2.878509301761608,-0.4076070122383921,0.4076070122383921,1,G1,0.0,0.0,0.0,0.0,0,0,0
A-12,SEKYBDYVXDAYPY-UHFFFAOYSA-N,"11,16,17,21-tetrahydroxypregna-1,4-diene-3,20-dione",CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-2.6645485391,-2.6606227485092604,-0.0039257905907397,0.0039257905907397,1,G1,0.0,0.0,0.0,0.0,0,0,0
A-14,LSQARZALBDFYQZ-UHFFFAOYSA-N,bis(4-fluorophenyl)methanone,Fc1ccc(cc1)C(=O)c2ccc(F)cc2,-4.396652184700001,-3.204048434916145,-1.1926037497838555,1.1926037497838555,2,G3,0.4315126480999995,0.0,0.0,0.0,0,0,0
A-15,BYQDGAVOOHIJQS-UHFFFAOYSA-N,1-[2-(benzoyloxy)propoxy]propan-2-yl benzoate 1-{[1-(benzoyloxy)propan-2-yl]oxy}propan-2-yl benzoate 2-{[1-(benzoyloxy)propan-2-yl]oxy}propyl benzoate,O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,-4.595502563999999,-3.662507736396696,-0.932994827603304,0.932994827603304,2,G3,0.1185512819999998,0.0,0.0,0.0,0,0,0
A-17,BGNGWHSBYQYVRX-UHFFFAOYSA-N,4-(dimethylamino)benzaldehyde,CN(C)c1ccc(C=O)cc1,-2.2827688499,-2.4085852112226136,0.1258163613226135,0.1258163613226135,1,G1,0.0,0.0,0.0,3.552713678800501e-15,0,0,0
A-18,FLUWAIIVLCVEKF-UHFFFAOYSA-N,2-methyl-1-phenylpropan-2-yl acetate,CC(=O)OC(C)(C)Cc1ccccc1,-2.3946499685,-2.900582240167748,0.5059322716677479,0.5059322716677479,1,G1,0.0,0.0,0.0,0.0,0,0,0
A-19,YJZHZFOWHRKQHS-UHFFFAOYSA-N,"2,3-dimethylphenol; 2,4-dimethylphenol; 2,5-dimethylphenol; 2,6-dimethylphenol; 3,4-dimethylphenol; 3,5-dimethylphenol",Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,-1.9803097957,-7.916292591655534,5.935982795955534,5.935982795955534,4,G5,0.1558590555003896,0.0,0.0,1.4210854715202004e-14,0,0,0
