ID,observed_solubility,mean_prediction,median_prediction,prediction_sd,prediction_min,prediction_max,prediction_count,mean_residual,mean_absolute_error,prediction_range,compound_absolute_error,compound_residual,compound_squared_error,compound_error_direction
A-10,-3.1231503041,-2.6755120280284754,-2.6544760418464053,0.09050892940747052,-2.774686559324526,-2.597373482914496,3,-0.44763827607152445,0.44763827607152445,0.1773130764100297,0.44763827607152473,-0.44763827607152473,0.2003800262042866,Overprediction
A-100,-4.952868802799999,-4.995292847611456,-4.995292847611456,0.09949036992116472,-5.065643162845469,-4.924942532377441,2,0.0424240448114559,0.07035031523401392,0.14070063046802783,0.04242404481145634,0.04242404481145634,0.0017997995781644557,Underprediction
A-1000,-3.8838494997,-4.131544426643689,-4.111153355891044,0.16693038837300264,-4.307733659904998,-3.9757462641350263,3,0.24769492694368914,0.24769492694368914,0.3319873957699717,0.247694926943689,0.247694926943689,0.06135277683363943,Underprediction
A-1002,-6.4511045339,-6.283407755631735,-6.6064298799779655,0.735247270174186,-6.801846014133132,-5.44194737278411,3,-0.16769677826826376,0.5050746624756627,1.3598986413490222,0.16769677826826435,-0.16769677826826435,0.028122209441555416,Overprediction
A-1003,-3.5462434596,-0.5092343906590936,-0.5427659738843246,0.08544371346931616,-0.572826254974421,-0.4121109431185353,3,-3.037009068940906,3.037009068940906,0.16071531185588567,3.037009068940906,-3.037009068940906,9.22342408482931,Overprediction
A-1004,-3.7960463334,-4.250071351321012,-4.2380809654447775,0.11247462781268207,-4.368060806998369,-4.144072281519891,3,0.45402501792101263,0.45402501792101263,0.22398852547847792,0.45402501792101235,0.45402501792101235,0.2061387168981756,Underprediction
A-1005,-3.7917820609,-3.676432635672002,-3.690588591980253,0.02678079624782281,-3.693164691608917,-3.6455446234268343,3,-0.11534942522799874,0.11534942522799874,0.047620068182082864,0.11534942522799829,-0.11534942522799829,0.01330548990042957,Overprediction
A-1006,-3.86580004,-3.5864715235010163,-3.625655073180386,0.14685039814105047,-3.7097556616420655,-3.424003835680597,3,-0.27932851649898377,0.27932851649898377,0.2857518259614684,0.2793285164989836,-0.2793285164989836,0.07802442012952296,Overprediction
A-1007,-2.9287991689,0.18023220854975744,0.1395549316852249,0.07747206415513816,0.1315712811527921,0.2695704128112553,3,-3.109031377449757,3.109031377449757,0.13799913165846323,3.1090313774497575,-3.1090313774497575,9.666076105967138,Overprediction
A-1009,-2.5105450102,-2.138988749456644,-2.1089670375786147,0.18987528041037688,-2.342086406428729,-1.9659128043625889,3,-0.3715562607433558,0.3715562607433558,0.37617360206614014,0.3715562607433558,-0.3715562607433558,0.1380540548975846,Overprediction
A-1011,-2.8204043469,-1.3351669870266347,-1.3338015075612728,0.03292023582631335,-1.3687487165041747,-1.3029507370144566,3,-1.4852373598733655,1.4852373598733655,0.0657979794897181,1.4852373598733655,-1.4852373598733655,2.205930015163605,Overprediction
A-1013,-2.7764329492,-2.6196282831281725,-2.5909854484311925,0.07345760851433264,-2.70309238818864,-2.564807012764685,3,-0.15680466607182764,0.15680466607182764,0.13828537542395525,0.15680466607182764,-0.15680466607182764,0.024587703301897374,Overprediction
A-1014,-1.3147228436,-0.22983192560338903,-0.2253889616591269,0.07086480359906186,-0.3028136749766266,-0.1612931401744135,3,-1.084890917996611,1.084890917996611,0.14152053480221308,1.084890917996611,-1.084890917996611,1.1769883039515294,Overprediction
A-1015,-2.6942897822000003,-3.1500223740823974,-3.063942276400765,0.2647934990421608,-3.4471455977347927,-2.9389792481116355,3,0.4557325918823974,0.4557325918823974,0.5081663496231572,0.4557325918823971,0.4557325918823971,0.20769219530384753,Underprediction
A-1016,-2.7506819237,-2.6713275950247244,-2.6713275950247244,,-2.6713275950247244,-2.6713275950247244,1,-0.07935432867527581,0.07935432867527581,0.0,0.07935432867527581,-0.07935432867527581,0.0062971094795037,Overprediction
A-1018,-2.6677709688,-1.4250238678119527,-1.4062074398951674,0.0813847024335456,-1.514168687670873,-1.3546954758698175,3,-1.2427471009880475,1.2427471009880475,0.15947321180105556,1.2427471009880475,-1.2427471009880475,1.5444203570141963,Overprediction
A-1021,-3.9191737976,-3.1992592038942647,-3.1992592038942647,0.20861687959188832,-3.3467736141236664,-3.051744793664863,2,-0.7199145937057354,0.7199145937057354,0.2950288204588034,0.7199145937057354,-0.7199145937057354,0.5182770222304941,Overprediction
A-1022,-3.7461507617,-2.857207927948275,-2.854268276201735,0.013802947517191565,-2.8722438953462794,-2.845111612296809,3,-0.8889428337517256,0.8889428337517256,0.027132283049470463,0.8889428337517251,-0.8889428337517251,0.7902193616785472,Overprediction
A-1024,-3.8026769123,-4.088445312992613,-4.107812237338759,0.061676504525003915,-4.138114044472773,-4.019409657166308,3,0.28576840069261333,0.28576840069261333,0.11870438730646526,0.28576840069261333,0.28576840069261333,0.08166357883441401,Underprediction
A-1025,-3.0959725365,-1.8265520313535322,-1.8265520313535322,0.06705661463768778,-1.8739682182872544,-1.7791358444198102,2,-1.269420505146468,1.269420505146468,0.09483237386744414,1.269420505146468,-1.269420505146468,1.611428418886314,Overprediction
A-1027,-4.0635303796,-2.988254637187624,-2.988254637187624,,-2.988254637187624,-2.988254637187624,1,-1.0752757424123764,1.0752757424123764,0.0,1.0752757424123764,-1.0752757424123764,1.1562179222204874,Overprediction
A-1029,-0.8283051545000001,-1.9940581771619421,-2.0170250754750008,0.042669028105819955,-2.020324392188071,-1.9448250638227544,3,1.165753022661942,1.165753022661942,0.07549932836531648,1.1657530226619421,1.1657530226619421,1.3589801098454546,Underprediction
A-1030,-2.8588087212,-3.8194997395941996,-3.8194997395941996,0.060579589885798764,-3.862335978403948,-3.7766635007844513,2,0.9606910183941997,0.9606910183941997,0.08567247761949659,0.9606910183941997,0.9606910183941997,0.9229272328232845,Underprediction
A-1032,-2.7132509977,-1.8106556180226947,-1.8244112553650784,0.07447833697801276,-1.8772972492269544,-1.7302583494760513,3,-0.9025953796773051,0.9025953796773051,0.14703889975090312,0.9025953796773052,-0.9025953796773052,0.8146784194148187,Overprediction
A-1033,-2.6532064055,-1.4197934185790275,-1.4218254997757949,0.018775506787046762,-1.4374702279403944,-1.4000845280208931,3,-1.2334129869209727,1.2334129869209727,0.03738569991950125,1.2334129869209727,-1.2334129869209727,1.5213075963053155,Overprediction
A-1034,-2.7325883752,-3.634070558345975,-3.580585522876911,0.12794467489918865,-3.7800789683997857,-3.5415471837612285,3,0.9014821831459748,0.9014821831459748,0.2385317846385573,0.901482183145975,0.901482183145975,0.8126701265296331,Underprediction
A-1038,-2.8026246384,-4.394053055556451,-4.348000244153477,0.1424231638539943,-4.60166556724132,-4.27854616667753,4,1.5914284171564508,1.5914284171564508,0.3231194005637903,1.5914284171564512,1.5914284171564512,2.5326444069330876,Underprediction
A-1041,-1.7471686412,-1.0940112226396377,-1.0992159100532146,0.0775510857386118,-1.1688288655056505,-1.013988892360048,3,-0.6531574185603624,0.6531574185603624,0.1548399731456025,0.6531574185603624,-0.6531574185603624,0.4266146134204364,Overprediction
A-1043,-2.8772524161,-3.028534046675015,-3.0173309601270684,0.07002548498723045,-3.10348569223115,-2.964785487666827,3,0.15128163057501487,0.15128163057501487,0.13870020456432286,0.15128163057501487,0.15128163057501487,0.022886131749435275,Underprediction
A-1050,-3.8031812605,-3.315285368247898,-3.315285368247898,0.205674300294077,-3.460719060701638,-3.169851675794158,2,-0.48789589225210217,0.48789589225210217,0.2908673849074801,0.48789589225210195,-0.48789589225210195,0.23804240167647467,Overprediction
A-1051,-3.796856222,-1.6716018998270419,-1.6513850928945726,0.05786301196525292,-1.7368609033968334,-1.6265597031897197,3,-2.125254322172958,2.125254322172958,0.11030120020711376,2.1252543221729585,-2.1252543221729585,4.516705933914841,Overprediction
